City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,camana,-16.6228,-72.7111,22.67,72,69,4.01,PE,1702314466
1,adamstown,-25.066,-130.1015,21.34,60,4,2.22,PN,1702314466
2,hithadhoo,-0.6,73.0833,28.28,75,44,2.73,MV,1702314466
3,pauini,-7.7136,-66.9764,36.12,41,92,1.9,BR,1702314466
4,blackmans bay,-43.0167,147.3167,9.74,92,65,1.57,AU,1702314467
5,coquimbo,-29.9533,-71.3436,19.42,69,25,4.82,CL,1702314453
6,nagqu,31.5,92.0,-16.44,47,1,1.95,CN,1702314467
7,puerto natales,-51.7236,-72.4875,13.25,44,75,8.23,CL,1702314467
8,happy valley-goose bay,53.3168,-60.3315,2.05,97,100,1.29,CA,1702314467
9,rondonopolis,-16.4708,-54.6356,36.3,34,82,2.95,BR,1702314293
10,west island,-12.1568,96.8225,25.99,73,7,3.09,CC,1702314468
11,port-aux-francais,-49.35,70.2167,5.01,91,65,8.25,TF,1702314468
12,anadyr,64.75,177.4833,-26.67,75,0,4.0,RU,1702314468
13,mweka,-4.85,21.5667,23.42,83,94,0.83,CD,1702314468
14,udachny,66.4167,112.4,-25.15,96,100,4.72,RU,1702314469
15,olinda,-8.0089,-34.8553,29.85,66,40,5.14,BR,1702314469
16,chibougamau,49.9168,-74.3659,-7.21,86,100,4.12,CA,1702314469
17,kasongo,-4.45,26.6667,22.3,94,98,0.76,CD,1702314469
18,rio grande,-32.035,-52.0986,28.06,75,29,6.44,BR,1702314469
19,longyearbyen,78.2186,15.6401,-5.09,68,75,8.75,SJ,1702314469
20,avarua,-21.2078,-159.775,25.03,88,100,11.32,CK,1702314470
21,vershino-darasunskiy,52.35,115.5167,-31.89,99,8,0.9,RU,1702314470
22,ushuaia,-54.8,-68.3,10.79,65,100,2.65,AR,1702314470
23,crucecita,-28.95,-58.9833,30.19,40,0,4.09,AR,1702314471
24,bilibino,68.0546,166.4372,-18.89,94,100,1.48,RU,1702314471
25,albany,42.6001,-73.9662,4.23,82,92,0.89,US,1702314454
26,chunskiy,56.0815,99.6342,-32.96,100,28,0.41,RU,1702314471
27,port mathurin,-19.6833,63.4167,26.46,73,100,3.07,MU,1702314471
28,severo-yeniseyskiy,60.3725,93.0408,-40.24,100,80,0.45,RU,1702314472
29,vuktyl,63.8567,57.3094,-23.83,93,100,4.92,RU,1702314472
30,iqaluit,63.7506,-68.5145,-17.15,78,75,9.77,CA,1702314472
31,waitangi,-43.9535,-176.5597,13.79,87,99,0.89,NZ,1702314472
32,hawaiian paradise park,19.5933,-154.9731,22.24,98,100,1.54,US,1702314472
33,utrik,11.2278,169.8474,27.14,78,48,9.23,MH,1702314473
34,bethel,41.3712,-73.414,6.68,82,100,3.09,US,1702314183
35,muisne,0.6,-80.0333,26.85,79,96,3.62,EC,1702314473
36,smithers,54.7804,-127.1743,-6.03,97,100,0.61,CA,1702314473
37,antsiranana,-12.2787,49.2917,26.48,82,26,5.62,MG,1702314233
38,punta cardon,11.6581,-70.215,29.38,63,2,12.2,VE,1702314473
39,hovd,48.0056,91.6419,-17.37,82,88,0.77,MN,1702314473
40,sandnessjoen,66.0217,12.6316,-5.88,73,0,1.03,NO,1702314474
41,galesong,-5.3166,119.3661,26.01,83,100,2.48,ID,1702314474
42,timimoun,29.2639,0.231,19.35,27,0,3.04,DZ,1702314474
43,novyy urengoy,66.0833,76.6333,-25.29,87,100,4.65,RU,1702314474
44,laela,-8.5667,32.05,18.67,90,99,1.54,TZ,1702314475
45,ancud,-41.8697,-73.8203,11.94,95,100,4.67,CL,1702314475
46,ust-tsilma,65.441,52.1498,-15.22,91,100,5.36,RU,1702314475
47,kyzylorda,44.8528,65.5092,-14.02,43,0,6.61,KZ,1702314475
48,atafu village,-8.5421,-172.5159,27.82,83,100,11.72,TK,1702314476
49,yellowknife,62.456,-114.3525,-27.75,100,10,2.01,CA,1702314476
50,nyurba,63.2842,118.3319,-27.86,98,100,2.53,RU,1702314476
51,lobujya,27.95,86.8167,-15.18,54,2,0.39,NP,1702314476
52,ilulissat,69.2167,-51.1,1.09,64,100,11.56,GL,1702314476
53,essaouira,31.5125,-9.77,20.56,58,73,1.14,MA,1702314477
54,bukama,-9.2,25.85,22.85,93,71,0.69,CD,1702314477
55,talcahuano,-36.7167,-73.1167,14.97,76,57,5.2,CL,1702314411
56,contamana,-7.3333,-75.0167,36.39,38,22,2.09,PE,1702314477
57,puerto ayora,-0.7393,-90.3518,28.98,77,49,3.89,EC,1702314477
58,grytviken,-54.2811,-36.5092,4.81,87,97,5.29,GS,1702314477
59,papatowai,-46.5619,169.4708,7.69,79,36,7.98,NZ,1702314478
60,kozlovka,55.8428,48.2492,-18.58,83,95,6.15,RU,1702314478
61,kapsan-up,41.0903,128.2933,-4.78,95,100,0.59,KP,1702314478
62,tolanaro,-25.0319,46.9987,25.36,90,94,5.6,MG,1702314478
63,gwadar,25.1216,62.3254,24.32,45,52,3.81,PK,1702314478
64,nuuk,64.1835,-51.7216,2.34,69,100,22.12,GL,1702314360
65,muttupet,10.4,79.4833,24.99,83,73,4.69,IN,1702314479
66,calvinia,-31.4707,19.776,24.19,23,0,8.84,ZA,1702314479
67,egersund,58.4513,5.9997,2.74,68,100,3.01,NO,1702314479
68,georgetown,5.4112,100.3354,26.08,94,20,1.54,MY,1702314214
69,zakynthos,37.7914,20.8953,12.58,87,20,0.0,GR,1702314480
70,savonlinna,61.8699,28.88,-10.97,85,100,3.09,FI,1702314480
71,pyapon,16.2833,95.6833,24.09,83,1,3.08,MM,1702314265
72,olonkinbyen,70.9221,-8.7187,0.0,94,100,7.36,SJ,1702314480
73,hermanus,-34.4187,19.2345,18.9,70,0,2.79,ZA,1702314481
74,tamanrasset,22.785,5.5228,20.95,17,0,6.69,DZ,1702314481
75,papao,-17.75,-149.55,26.82,80,64,11.15,PF,1702314481
76,danielskuil,-28.1887,23.5395,22.11,34,60,5.51,ZA,1702314481
77,pisco,-13.7,-76.2167,23.34,73,0,4.12,PE,1702314482
78,sechura,-5.5569,-80.8222,27.07,57,29,4.54,PE,1702314482
79,kalmunai,7.4167,81.8167,25.61,89,99,2.56,LK,1702314482
80,tosontsengel,48.7567,98.2839,-30.21,97,88,0.62,MN,1702314482
81,kununurra,-15.7667,128.7333,28.99,70,100,0.0,AU,1702314482
82,bokani,9.4333,5.2,30.91,17,0,1.58,NG,1702314483
83,east london,-33.0153,27.9116,21.1,80,40,5.27,ZA,1702314483
84,kirakira,-10.4544,161.9205,25.42,87,95,1.8,SB,1702314484
85,whitehorse,60.7161,-135.0538,-12.17,94,99,3.58,CA,1702314484
86,iskateley,67.6803,53.1512,-16.66,94,100,9.39,RU,1702314484
87,geraldton,-28.7667,114.6,16.23,82,0,2.57,AU,1702314485
88,qarqin,37.4185,66.0436,10.15,73,73,4.62,AF,1702314485
89,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702314485
90,wailua homesteads,22.0669,-159.378,23.44,91,100,3.09,US,1702314485
91,lazaro cardenas,17.9583,-102.2,29.15,52,98,4.4,MX,1702314486
92,punta arenas,-53.15,-70.9167,12.06,40,75,9.26,CL,1702314486
93,kodiak,57.79,-152.4072,-0.27,74,0,4.12,US,1702314486
94,belyy yar,53.6039,91.3903,-34.06,75,20,0.0,RU,1702314487
95,port lincoln,-34.7333,135.8667,15.93,88,42,1.51,AU,1702314487
96,port alfred,-33.5906,26.891,20.66,87,10,1.34,ZA,1702314488
97,saint-pierre,-21.3393,55.4781,25.82,73,0,6.69,RE,1702314488
98,salekhard,66.53,66.6019,-26.5,96,100,4.71,RU,1702314488
99,labrador city,52.9463,-66.9114,-6.36,87,100,2.89,CA,1702314489
100,bredasdorp,-34.5322,20.0403,20.04,55,0,4.74,ZA,1702314489
101,shenzhen,22.5455,114.0683,24.91,92,5,0.27,CN,1702314489
102,thompson,55.7435,-97.8558,-9.65,83,100,5.85,CA,1702314489
103,taroa,8.7058,171.2275,27.54,71,98,9.42,MH,1702314490
104,gereida,11.2811,25.1414,27.81,16,78,1.64,SD,1702314490
105,mar del plata,-38.0023,-57.5575,28.79,80,47,12.07,AR,1702314490
106,ribeira grande,38.5167,-28.7,17.22,67,40,5.14,PT,1702314490
107,badger,64.8,-147.5333,-9.05,84,100,1.54,US,1702314491
108,dryden,49.7833,-92.7503,-6.84,93,100,5.66,CA,1702314491
109,flin flon,54.7682,-101.865,-10.09,79,100,5.66,CA,1702314250
110,al jawf,29.5,38.75,21.81,49,100,4.15,SA,1702314491
111,saskatoon,52.1168,-106.6345,-6.12,62,1,8.94,CA,1702314492
112,enewetak,11.3474,162.3373,27.91,77,64,8.65,MH,1702314492
113,lyakhavichy,53.0388,26.2656,0.07,98,100,6.56,BY,1702314492
114,hazorasp,41.3194,61.0742,-12.09,33,7,8.59,UZ,1702314493
115,la sarre,48.8002,-79.1996,-10.45,77,97,3.68,CA,1702314344
116,suntar,62.1444,117.6319,-28.27,96,100,2.65,RU,1702314494
117,port alberni,49.2413,-124.8028,4.92,95,27,0.45,CA,1702314494
118,port elizabeth,-33.918,25.5701,21.29,80,0,1.34,ZA,1702314494
119,new norfolk,-42.7826,147.0587,10.4,98,85,0.93,AU,1702314494
120,stanley,54.868,-1.6985,4.29,93,20,2.57,GB,1702314494
121,almunecar,36.7339,-3.6907,22.6,77,82,1.59,ES,1702314495
122,sitia,35.2,26.0986,15.55,74,65,5.42,GR,1702314495
123,san carlos de bariloche,-41.1456,-71.3082,13.76,65,74,5.27,AR,1702314495
124,mount pearl,47.5166,-52.7813,10.18,95,100,9.77,CA,1702314256
125,pesqueria,25.7833,-100.05,20.76,54,75,0.0,MX,1702314496
126,buala,-8.145,159.5921,25.91,83,99,2.26,SB,1702314496
127,saldanha,-33.0117,17.9442,18.24,79,0,8.68,ZA,1702314496
128,hotan,37.0997,79.9269,1.67,33,100,0.58,CN,1702314496
129,tiksi,71.6872,128.8694,-23.35,99,100,3.98,RU,1702314496
130,kapa'a,22.0752,-159.319,24.18,91,100,3.09,US,1702314363
131,hasaki,35.7333,140.8333,12.38,85,100,3.25,JP,1702314497
132,radeburg,51.2152,13.7281,10.35,91,75,7.2,DE,1702314497
133,goure,13.9835,10.2704,21.66,22,1,4.63,NE,1702314498
134,yatsuomachi-higashikumisaka,36.5667,137.1333,9.52,91,100,3.35,JP,1702314498
135,talnakh,69.4865,88.3972,-27.3,97,100,4.47,RU,1702314498
136,constantia,44.1833,28.65,2.61,72,90,3.39,RO,1702314498
137,nar'yan-mar,67.6713,53.087,-16.61,94,100,9.39,RU,1702314499
138,foix,42.8333,1.5833,12.83,88,95,2.05,FR,1702314499
139,nova vicosa,-17.8919,-39.3719,29.76,55,34,7.59,BR,1702314499
140,thames,-37.1333,175.5333,13.67,69,82,4.8,NZ,1702314499
141,nuku'alofa,-21.1333,-175.2,25.17,64,7,7.52,TO,1702314500
142,yangjiang,21.85,111.9667,21.81,87,5,0.9,CN,1702314500
143,lihue,21.9789,-159.3672,23.77,88,100,3.09,US,1702314500
144,margaret river,-33.95,115.0667,15.57,67,0,3.29,AU,1702314501
145,fale old settlement,-9.3852,-171.2468,28.08,82,100,11.19,TK,1702314501
146,saint-philippe,-21.3585,55.7679,25.77,78,61,4.07,RE,1702314501
147,santa elena de uairen,4.6167,-61.1333,30.07,39,86,1.89,VE,1702314501
148,maragogi,-9.0122,-35.2225,29.63,56,11,5.16,BR,1702314502
149,porto novo,6.4965,2.6036,29.27,64,40,3.99,BJ,1702314502
150,moron,-34.6534,-58.6198,29.38,64,45,4.02,AR,1702314503
151,kapuskasing,49.4169,-82.4331,-10.95,79,100,4.12,CA,1702314362
152,leon,21.1167,-101.6667,15.03,62,100,3.88,MX,1702314453
153,namibe,-15.1961,12.1522,22.77,70,70,5.24,AO,1702314503
154,sisimiut,66.9395,-53.6735,0.03,76,100,15.68,GL,1702314504
155,sao vicente,-23.9631,-46.3919,27.1,26,65,0.89,BR,1702314504
156,dawson creek,55.7666,-120.2362,-4.88,64,100,2.28,CA,1702314504
157,borogontsy,62.6683,131.1683,-36.72,100,100,0.86,RU,1702314504
158,petropavlovsk-kamchatsky,53.0452,158.6483,-10.3,87,14,7.6,RU,1702314505
159,crane,31.3974,-102.3501,12.33,18,4,1.83,US,1702314505
160,haiku-pauwela,20.9219,-156.3051,23.91,94,20,2.06,US,1702314506
161,barcelos,41.5388,-8.6151,17.08,88,100,3.61,PT,1702314506
162,chonchi,-42.6128,-73.8092,14.56,96,100,1.41,CL,1702314221
163,edinburgh of the seven seas,-37.0676,-12.3116,13.1,85,100,9.24,SH,1702314506
164,phalodi,27.1333,72.3667,20.25,18,6,2.18,IN,1702314506
165,mana,5.6592,-53.7767,29.39,69,28,4.58,GF,1702314507
166,sinabang,2.4803,96.3801,26.07,82,77,1.45,ID,1702314507
167,nova sintra,14.8667,-24.7167,23.53,64,19,7.12,CV,1702314508
168,ust-nera,64.5667,143.2,-20.92,99,100,4.24,RU,1702314508
169,mundemba,4.9479,8.8724,28.6,55,71,2.0,CM,1702314508
170,jamestown,42.097,-79.2353,0.31,96,100,7.72,US,1702314252
171,nurabad,34.0734,47.9725,7.57,43,100,0.44,IR,1702314508
172,guerrero negro,27.9769,-114.0611,19.34,41,90,0.63,MX,1702314209
173,sitka,57.0531,-135.33,5.94,75,100,7.2,US,1702314509
174,khromtau,50.2503,58.4347,-27.28,87,49,7.86,KZ,1702314509
175,keflavik,64.0049,-22.5624,2.24,75,75,4.63,IS,1702314509
176,pasni,25.2631,63.471,24.64,39,9,4.33,PK,1702314509
177,isafjordur,66.0755,-23.124,-1.98,69,100,3.6,IS,1702314509
178,great falls,47.5002,-111.3008,1.32,95,100,2.06,US,1702314510
179,talitsy,56.5289,42.3344,-8.99,93,100,6.16,RU,1702314510
180,zaranj,30.9667,61.8833,16.31,28,26,1.53,AF,1702314450
181,macapa,0.0389,-51.0664,33.99,49,40,7.2,BR,1702314511
182,rajsamand,25.0667,73.8833,16.5,29,27,1.44,IN,1702314511
183,golfito,8.639,-83.166,31.31,62,35,1.87,CR,1702314511
184,tadine,-21.55,167.8833,22.11,70,95,6.3,NC,1702314511
185,aktau,43.65,51.2,-10.68,87,17,8.95,KZ,1702314512
186,tsiombe,-25.3,45.4833,25.91,79,91,2.25,MG,1702314512
187,kavaratti,10.5669,72.642,28.8,70,64,0.7,IN,1702314512
188,invercargill,-46.4,168.35,7.85,80,66,8.32,NZ,1702314512
189,codrington,-38.2667,141.9667,15.77,90,100,4.46,AU,1702314513
190,hamilton,39.1834,-84.5333,2.45,74,100,4.12,US,1702314451
191,caleta de carquin,-11.0925,-77.6267,22.96,70,9,4.92,PE,1702314513
192,holualoa,19.6228,-155.9522,23.26,81,40,2.57,US,1702314513
193,beau vallon,-20.4189,57.6953,26.13,78,40,2.06,MU,1702314514
194,polyarnyy,69.1989,33.4478,-12.57,89,89,6.98,RU,1702314249
195,walvis bay,-22.9575,14.5053,17.27,71,8,2.41,NA,1702314515
196,barreirinha,-2.7933,-57.07,28.07,79,100,0.45,BR,1702314515
197,bodaybo,57.8506,114.1933,-28.37,99,100,0.25,RU,1702314515
198,la passe,45.5549,-0.8967,14.13,97,100,6.51,FR,1702314516
199,acapulco de juarez,16.8634,-99.8901,29.9,66,75,1.54,MX,1702314511
200,gilgit,35.9221,74.3087,4.09,33,95,1.34,PK,1702314516
201,hadibu,12.65,54.0333,25.06,65,9,5.16,YE,1702314516
202,fairfield,41.2668,-73.3162,6.91,69,100,6.17,US,1702314516
203,zhezqazghan,47.7833,67.7667,-21.66,69,78,9.05,KZ,1702314516
204,whakatane,-37.9585,176.9854,13.21,91,52,4.42,NZ,1702314517
205,saudarkrokur,65.7461,-19.6394,-3.17,91,100,4.29,IS,1702314517
206,port sudan,19.6175,37.2164,27.62,73,87,4.92,SD,1702314517
207,lima duarte,-21.8425,-43.7931,22.29,91,100,2.17,BR,1702314326
208,sokcho,38.2083,128.5911,3.34,93,100,3.6,KR,1702314518
209,inhambane,-23.865,35.3833,26.7,90,50,5.11,MZ,1702314518
210,international falls,48.6011,-93.411,-6.03,93,100,2.06,US,1702314518
211,karimganj,24.8667,92.35,17.17,84,0,1.07,IN,1702314518
212,broken hill,-31.95,141.4333,23.85,44,93,2.96,AU,1702314518
213,usiacuri,10.75,-74.9833,32.29,61,11,2.62,CO,1702314519
214,kailua-kona,19.6406,-155.9956,25.33,83,40,2.57,US,1702314519
215,pogranichnyy,44.4064,131.3769,-14.22,74,100,1.65,RU,1702314519
216,panorama,40.5878,23.0315,8.03,71,20,2.57,GR,1702314519
217,kikwit,-5.041,18.8162,23.22,94,88,1.43,CD,1702314519
218,college,64.8569,-147.8028,-9.01,82,100,1.54,US,1702314519
219,nouadhibou,20.931,-17.0347,27.99,16,35,0.0,MR,1702314520
220,ayorou,14.7308,0.9174,28.48,13,0,4.9,NE,1702314520
221,san rafael,-34.6177,-68.3301,33.71,22,11,6.26,AR,1702314520
222,kingston,17.997,-76.7936,31.25,73,75,1.79,JM,1702314409
223,st. john's,47.5649,-52.7093,10.64,95,100,9.77,CA,1702314348
224,aasiaat,68.7098,-52.8699,-0.61,73,100,6.72,GL,1702314521
225,linevo,54.4589,83.3764,-27.16,91,8,5.54,RU,1702314521
226,bayanhongor,46.7167,100.1167,-18.66,93,100,1.47,MN,1702314237
227,shimoda,34.6667,138.95,12.28,94,100,3.52,JP,1702314521
228,vilyuchinsk,52.9306,158.4028,-9.48,82,14,4.46,RU,1702314522
229,kuressaare,58.2481,22.5039,-3.03,98,100,4.63,EE,1702314522
230,egilsstadir,65.2653,-14.3948,-6.48,84,100,2.2,IS,1702314522
231,pacific grove,36.6177,-121.9166,14.25,60,0,3.58,US,1702314522
232,luderitz,-26.6481,15.1594,22.81,52,0,12.76,NA,1702314523
233,timbuktu,16.7735,-3.0074,28.68,11,0,4.86,ML,1702314223
234,tuyen quang,21.8233,105.2181,23.31,92,100,0.97,VN,1702314523
235,callao,-12.0667,-77.15,23.16,64,0,4.63,PE,1702314523
236,vorgashor,67.5833,63.95,-21.82,95,100,4.55,RU,1702314523
237,santiago,-33.4569,-70.6483,28.66,42,0,7.72,CL,1702314523
238,aripuana,-9.1667,-60.6333,33.56,49,82,0.6,BR,1702314271
239,vilyuysk,63.7553,121.6247,-26.24,96,100,2.91,RU,1702314524
240,tanque verde,32.2517,-110.7373,17.99,15,0,3.09,US,1702314524
241,warmbad,-28.45,18.7333,31.16,9,0,8.74,NA,1702314524
242,trairi,-3.2778,-39.2689,31.18,53,69,6.84,BR,1702314310
243,brookings,44.3114,-96.7984,0.61,88,0,4.12,US,1702314304
244,kuta,-8.7233,115.1723,27.97,83,20,4.63,ID,1702314525
245,qaqortoq,60.7167,-46.0333,-2.12,93,100,8.31,GL,1702314525
246,kruisfontein,-34.0033,24.7314,19.55,64,0,2.13,ZA,1702314525
247,at-bashi,41.1702,75.8106,-8.13,79,83,0.75,KG,1702314525
248,khor,47.8861,134.9464,-26.81,93,8,3.63,RU,1702314525
249,siteki,-26.45,31.95,17.64,98,100,1.29,SZ,1702314525
250,kachug,53.9606,105.8817,-34.42,100,15,0.45,RU,1702314525
251,howrah,22.5892,88.3103,19.0,72,0,0.0,IN,1702314526
252,hohhot,40.8106,111.6522,-6.14,86,53,0.83,CN,1702314492
253,north bend,43.4065,-124.2243,12.37,93,100,4.63,US,1702314526
254,poronaysk,49.2167,143.1167,-15.99,79,15,3.44,RU,1702314527
255,moires,35.0532,24.8744,15.07,78,45,0.89,GR,1702314527
256,emerald,-23.5333,148.1667,23.52,67,100,5.9,AU,1702314527
257,karratha,-20.7377,116.8463,25.74,45,0,4.35,AU,1702314527
258,mil'kovo,55.6078,37.7956,-6.48,94,100,7.07,RU,1702314527
259,xichang,27.8964,102.2634,8.81,79,1,0.95,CN,1702314527
260,pangody,65.85,74.4859,-26.06,89,100,5.46,RU,1702314528
261,santa marinella,42.0345,11.8536,15.39,91,100,7.14,IT,1702314528
262,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702314528
263,yaritagua,10.08,-69.1261,31.86,45,57,2.93,VE,1702314528
264,bamboo flat,11.7,92.7167,27.1,82,39,3.9,IN,1702314528
265,gabarin,11.1093,10.4441,23.36,17,30,4.06,NG,1702314528
266,gulf shores,30.246,-87.7008,12.25,54,0,3.09,US,1702314528
267,la'ie,21.6477,-157.9253,24.5,87,33,1.79,US,1702314529
268,yaring,6.8662,101.3689,26.19,84,37,3.7,TH,1702314529
269,enoch,37.7733,-113.0244,1.14,60,0,1.54,US,1702314529
270,warmbaths,-24.8833,28.2833,21.28,70,91,6.17,ZA,1702314529
271,aleksandrovsk,59.158,57.5624,-27.33,75,100,1.81,RU,1702314529
272,hilo,19.7297,-155.09,22.57,98,100,2.68,US,1702314512
273,naha,26.2125,127.6811,24.15,88,75,4.12,JP,1702314529
274,mugia,43.1041,-9.2179,17.73,92,100,11.81,ES,1702314530
275,villa union,23.2,-106.2333,27.17,69,0,0.0,MX,1702314530
276,chihuahua,28.5,-106.0,8.46,21,0,2.31,MX,1702314530
277,margate,51.3813,1.3862,9.27,76,23,0.89,GB,1702314530
278,harstad,68.799,16.5293,-1.03,94,84,1.92,NO,1702314530
279,san andres,12.5847,-81.7006,31.01,74,20,5.66,CO,1702314341
280,puerto aysen,-45.4,-72.7,14.44,72,58,2.66,CL,1702314531
281,gadzhiyevo,69.2551,33.3362,-12.9,90,92,7.34,RU,1702314531
282,udaipura,23.0833,78.5,17.91,56,8,0.99,IN,1702314531
283,chicomuselo,15.7667,-92.2667,22.48,80,97,1.23,MX,1702314531
